ID,Translation
A08B,Intel Tiger Lake-LP SOC
A08C,Intel Tiger Lake-LP SOC
A08D,Intel Tiger Lake-LP SOC
A08E,Intel Tiger Lake-LP SOC
A08F,Intel Tiger Lake-LP SOC
A090,Intel Tiger Lake-LP SOC
A091,Intel Tiger Lake-LP SOC
A092,Intel Tiger Lake-LP SOC
A093,Intel Tiger Lake-LP SOC
A094,Intel Tiger Lake-LP SOC
A095,Intel Tiger Lake-LP SOC
A096,Intel Tiger Lake-LP SOC
A097,Intel Tiger Lake-LP SOC
A098,Intel Tiger Lake-LP SOC
A099,Intel Tiger Lake-LP SOC
A09A,Intel Tiger Lake-LP SOC
A09B,Intel Tiger Lake-LP SOC
A09C,Intel Tiger Lake-LP SOC
A09D,Intel Tiger Lake-LP SOC
A09E,Intel Tiger Lake-LP SOC
A09F,Intel Tiger Lake-LP SOC
31E8,Intel GeminiLake SOC
4D80,Intel JasperLake SOC
4D81,Intel JasperLake SOC
4D82,Intel JasperLake SOC
4D83,Intel JasperLake SOC
4D84,Intel JasperLake SOC
4D85,Intel JasperLake SOC
4D86,Intel JasperLake SOC
4D87,Intel JasperLake SOC
4D88,Intel JasperLake SOC
4D89,Intel JasperLake SOC
4D8A,Intel JasperLake SOC
4D8B,Intel JasperLake SOC
4D8C,Intel JasperLake SOC
4D8D,Intel JasperLake SOC
4D8E,Intel JasperLake SOC
4D8F,Intel JasperLake SOC
9880,Intel LakeField SOC
9881,Intel LakeField SOC
9882,Intel LakeField SOC
9883,Intel LakeField SOC
9884,Intel LakeField SOC
9885,Intel LakeField SOC
9886,Intel LakeField SOC
9887,Intel LakeField SOC
9888,Intel LakeField SOC
9889,Intel LakeField SOC
988A,Intel LakeField SOC
988B,Intel LakeField SOC
988C,Intel LakeField SOC
988D,Intel LakeField SOC
988E,Intel LakeField SOC
988F,Intel LakeField SOC
7A04,Intel Z790 Chipset
7A0C,Intel HM770 Chipset
7E02,Intel Meteor Lake SOC
7A06,Intel B760 Chipset
